,class,title_punct_count,title_token_count,title_text_length,text_punct_count,text_token_count,text_text_length
16665,1,10,11,66,100,90,566
21141,1,14,13,71,356,313,1807
3758,0,13,13,92,424,382,2007
4684,0,22,16,101,298,262,1433
16004,1,13,11,84,517,469,2697
11779,1,9,10,60,462,419,2489
14059,1,11,12,63,539,487,2701
327,1,14,12,68,522,477,2841
6285,0,14,15,79,758,676,3955
21275,1,10,9,59,781,717,4127
4648,0,18,16,81,412,392,2169
18681,0,15,14,78,291,269,1454
12997,0,13,12,78,426,397,2382
15125,1,6,6,38,200,168,992
14842,1,7,8,61,281,252,1485
14355,1,12,13,63,769,705,4032
8417,1,7,8,60,1065,909,5446
7055,0,13,14,97,584,540,3063
18791,0,24,19,107,301,267,1495
10963,1,10,10,65,728,642,4082
8046,0,16,14,89,567,533,3101
4778,0,11,11,67,575,504,2878
7057,0,16,17,83,374,342,1905
11316,1,13,14,72,834,758,4355
3401,0,13,11,73,513,455,2665
158,1,10,9,73,427,373,2301
9773,1,7,8,67,259,235,1469
3365,0,14,14,78,378,360,2014
1811,1,9,10,62,374,327,2025
18906,1,7,8,59,102,86,548
5054,0,22,18,88,330,297,1750
18833,0,13,11,72,1036,940,5426
8966,1,10,8,55,601,521,3181
7162,1,13,13,83,390,344,2107
802,1,14,14,84,373,324,1957
11383,0,18,17,95,324,299,1942
4095,1,12,11,74,374,330,1942
19864,0,22,20,125,1033,913,4972
14850,0,36,33,214,538,499,2855
13514,0,17,16,96,269,254,1475
4811,1,14,11,61,445,399,2462
4982,1,9,9,54,470,407,2497
19244,1,14,14,80,337,303,1681
9260,1,7,8,58,72,57,362
5852,0,21,20,106,675,600,3239
6752,1,11,11,79,84,67,432
8431,0,13,13,79,371,335,1830
13328,1,14,11,71,361,312,1727
12336,1,6,7,57,322,295,1816
16540,0,28,20,127,393,357,2068
174,1,10,10,64,417,365,2235
1892,1,12,10,73,905,743,4639
18715,0,23,19,142,570,537,3161
9807,1,7,8,61,196,173,1100
2956,1,6,7,51,606,530,3296
8261,0,26,19,97,411,359,1965
16070,1,12,13,66,464,425,2607
2255,1,13,13,75,359,306,1935
10653,0,18,16,104,341,287,1734
12924,0,12,12,79,339,308,1764
1174,1,11,10,57,1592,1395,8456
13627,0,16,17,112,470,437,2786
1592,0,13,14,93,482,435,2473
9058,0,18,18,99,468,401,2241
20675,1,9,10,54,589,520,3031
8002,0,14,12,71,1431,1322,7846
13003,0,21,18,86,96,90,485
20625,1,14,10,69,464,408,2405
4039,1,11,11,64,828,714,4360
19176,1,12,12,69,56,46,279
2200,1,15,13,66,727,616,3711
16142,1,6,7,48,459,410,2452
3516,1,11,9,52,110,87,512
6443,1,10,10,59,485,424,2668
2790,0,15,16,99,524,493,2897
18788,1,15,13,79,378,338,1979
7720,1,7,8,52,461,403,2565
2340,1,8,8,60,475,413,2456
11529,0,11,12,63,303,281,1518
18079,1,10,9,58,675,608,3477
2714,1,8,9,66,76,64,443
20240,1,9,9,53,505,440,2382
10844,0,32,24,155,437,389,2242
8557,0,15,14,74,522,420,2359
18147,0,23,20,126,1151,1034,5772
20976,0,22,22,104,470,436,2373
3255,1,12,11,64,85,74,414
7429,1,10,9,57,447,392,2518
6602,1,10,9,70,382,333,1993
9816,1,11,10,62,576,486,3077
4949,1,16,14,79,543,484,2939
3903,1,7,7,55,58,48,325
11629,0,19,15,83,321,277,1658
18210,1,11,9,66,778,694,4186
18179,0,15,14,95,588,531,3122
21346,0,18,18,112,518,467,2661
1072,1,8,9,55,927,813,4736
10598,0,45,38,237,743,674,3957
8556,0,13,14,75,635,586,3298
12882,1,11,10,66,121,105,587
9249,1,11,11,61,648,452,3051
19749,1,11,12,67,479,431,2503
19944,0,19,17,88,396,366,1976
14413,1,10,10,74,91,78,449
3839,0,13,14,70,472,445,2534
10532,0,34,26,166,651,595,3494
499,1,13,10,64,575,478,2896
20079,0,12,11,67,244,217,1300
3672,0,14,11,65,372,296,1752
2010,1,13,13,81,154,140,902
9968,1,8,9,70,487,432,2742
264,1,14,13,85,751,656,3864
1579,0,22,14,90,333,308,1620
4330,1,13,11,67,811,710,4160
20453,1,11,12,61,465,413,2425
19440,0,25,20,124,783,696,3883
20382,1,8,8,54,794,719,4138
17580,1,9,10,56,124,112,596
13707,0,47,39,235,1086,994,5468
19394,1,11,12,73,681,612,3435
9290,1,13,12,65,1084,927,5604
6243,0,12,13,75,833,685,3897
15567,1,15,13,73,612,544,2856
11056,0,18,18,102,177,163,870
15676,1,11,10,72,345,306,1806
5879,0,16,16,93,742,690,3852
17550,0,21,19,92,527,483,2718
9969,1,7,8,50,771,698,4264
31,1,7,8,53,282,231,1375
18398,0,23,24,142,2661,2424,14328
4961,0,22,17,89,545,482,2760
3674,0,19,15,104,487,445,2515
21714,0,23,20,106,1,1,1
16384,0,17,17,96,379,340,1965
5588,1,13,8,59,162,115,729
10493,0,15,14,69,507,447,2329
17457,1,12,12,65,274,238,1418
9938,0,18,17,108,99,96,543
9257,1,8,8,51,482,423,2387
14115,1,12,12,75,1477,1328,7681
3369,0,14,15,79,537,463,2526
1343,0,15,15,81,392,336,1877
746,0,13,12,70,415,376,2081
13805,1,10,10,67,456,408,2351
9197,0,14,12,61,4105,3659,22867
4041,0,22,15,81,308,272,1489
4873,0,16,14,88,312,284,1668
14486,1,8,9,51,287,251,1603
809,0,15,16,92,683,615,3568
23424,0,12,10,58,174,156,913
9332,1,10,11,74,156,135,841
2831,1,15,14,72,880,748,4560
19776,0,16,15,98,327,308,1744
3019,1,11,11,65,438,401,2398
1087,0,12,13,55,406,350,1963
1619,1,16,14,90,123,99,604
9047,1,13,10,68,561,472,2782
14838,1,9,10,61,969,871,5107
9664,1,10,11,68,479,424,2550
16292,1,9,10,62,459,399,2393
12260,0,25,22,131,693,606,3612
21358,0,18,17,111,682,613,3188
8262,1,13,12,67,509,439,2618
11889,1,11,11,74,295,265,1571
2849,0,17,17,95,640,586,3424
16015,1,15,14,75,66,57,316
18584,1,11,10,78,120,103,657
20333,0,38,35,188,1313,1197,6880
11518,1,12,12,71,460,407,2423
11781,0,28,22,130,662,610,3350
14959,0,25,23,135,113,100,579
16031,0,12,12,90,1179,1068,6494
16317,1,13,12,77,392,344,2022
6539,0,12,12,66,439,384,2286
3346,0,11,11,65,418,393,2109
7108,0,15,13,70,305,279,1628
13413,0,30,24,132,241,221,1247
13195,1,15,13,81,126,109,651
2910,0,16,15,87,515,452,2484
2689,0,21,15,79,678,626,3396
9129,0,28,22,152,1423,1240,7581
3923,1,9,10,57,352,311,1994
2108,0,14,13,63,513,454,2599
8494,0,14,14,90,824,732,4113
21281,0,14,13,84,305,271,1467
9638,1,8,8,47,751,648,3901
13566,0,33,30,167,213,188,1068
5402,1,12,10,65,957,824,4930
6833,1,10,9,58,477,423,2601
7601,0,21,18,87,371,325,1735
20296,1,9,10,65,142,120,781
10249,1,7,7,54,137,112,693
5194,0,17,17,86,540,496,2808
1841,1,10,11,66,67,58,340
9936,1,9,7,57,776,654,4003
7236,1,12,12,69,681,593,3641
16780,0,22,21,125,671,611,3274
8846,1,8,9,60,278,252,1603
7462,1,12,12,70,81,67,435
901,0,15,14,75,428,379,2114
16626,0,27,20,104,315,290,1599
3661,0,19,15,97,381,345,2107
18972,1,8,9,57,118,101,642
15014,0,11,11,70,1254,1141,6380
12085,0,28,20,106,32,23,198
9399,1,10,10,64,126,112,702
8615,1,12,12,67,320,264,1578
3972,1,10,11,63,152,137,802
10656,0,15,13,88,408,364,2047
7913,1,12,10,69,939,799,4918
21358,1,7,8,63,270,245,1505
12223,0,13,13,78,317,295,1764
18286,0,17,15,96,154,139,777
22469,0,8,8,50,505,463,2849
18932,1,13,13,78,276,242,1498
5486,1,12,11,65,385,331,2021
17365,1,9,10,56,63,56,314
8324,0,16,15,81,491,444,2488
23474,0,8,8,41,1329,1203,7316
3717,0,20,16,94,415,360,2023
3706,0,14,13,76,648,599,3466
6422,1,15,14,68,1171,1026,6465
14495,1,7,8,51,772,694,4036
18133,0,20,15,94,359,315,1675
18445,1,12,13,77,409,368,2270
10057,0,10,10,63,235,216,1230
755,0,17,16,98,271,248,1345
4826,0,15,16,86,789,727,4249
14897,1,13,12,87,439,390,2366
16007,1,9,10,60,523,461,2705
16518,1,11,12,65,577,524,3000
15954,1,14,12,80,77,63,427
9416,0,21,17,113,338,295,1771
13062,0,25,22,159,1160,1015,5187
17796,1,11,10,56,567,505,2876
15049,0,15,13,73,188,154,913
3188,1,14,11,78,403,342,2125
19587,0,28,23,139,510,470,2720
9632,1,9,10,70,855,763,4628
1083,0,22,18,90,374,337,1999
12614,0,19,16,100,4,3,20
23068,0,20,18,116,5805,5184,31069
17689,0,32,29,182,734,657,3587
11465,1,10,11,59,384,336,1927
7701,1,9,9,61,462,397,2446
21419,0,28,24,166,506,464,2776
22766,0,20,12,78,272,229,1371
19463,0,18,14,88,73,67,391
4078,0,19,17,77,479,457,2480
19104,1,9,10,67,744,686,3915
15401,0,19,17,110,152,138,740
15311,1,8,8,60,224,204,1251
2854,0,12,13,87,803,748,4225
17334,1,10,11,65,626,547,3312
15374,0,16,16,111,486,452,2800
15718,1,9,8,50,2075,1830,10496
6876,1,14,11,67,336,286,1690
11452,1,8,8,60,579,522,3330
690,0,20,16,91,569,504,2961
12151,1,11,11,63,434,394,2329
22629,0,14,14,76,4621,4190,25130
9921,1,10,9,53,319,279,1690
3858,0,16,14,90,432,406,2405
7800,1,12,11,61,484,417,2549
16299,1,15,13,78,118,100,663
9034,0,16,13,80,501,448,2377
5330,0,9,10,61,374,333,1922
9150,1,13,10,66,214,184,1107
13992,1,11,11,63,251,220,1371
21311,0,25,23,120,1462,1282,7825
9633,0,22,22,136,507,452,2407
900,0,18,16,94,527,480,2753
7619,1,14,14,77,495,443,2683
1777,1,12,11,62,238,215,1363
15013,1,6,7,56,102,89,539
11733,1,12,9,67,76,62,410
9736,0,17,16,95,217,198,1168
18417,1,11,11,84,383,351,2138
441,1,12,10,75,895,730,4622
15742,1,10,9,58,558,498,2881
18850,1,16,14,84,150,131,791
9092,0,21,21,123,810,746,4355
19139,0,17,16,117,170,155,889
12008,1,9,10,69,334,297,1784
16755,1,9,9,56,979,884,5155
3434,1,13,12,75,408,352,2059
118,0,14,13,66,416,369,2184
23461,0,10,8,61,728,660,3831
4126,0,17,15,79,423,379,2090
17326,0,17,14,101,722,652,3782
10695,1,10,9,70,546,464,2759
14114,1,12,9,64,456,402,2386
8592,1,13,9,58,380,342,2104
2884,0,20,21,105,900,773,4670
9927,0,23,19,107,275,241,1344
14020,1,8,9,62,826,746,4461
7512,0,14,14,88,880,700,4041
16875,1,10,11,59,302,279,1656
18454,0,23,18,104,346,308,1637
13846,0,9,10,53,864,799,4579
15409,0,11,9,69,239,215,1332
1615,0,10,11,71,568,526,3258
19838,1,10,11,63,673,602,3558
17985,0,18,19,97,540,505,2943
22181,0,12,12,77,603,538,3325
19902,0,12,11,64,407,346,1857
14276,1,9,9,65,75,65,413
8678,1,13,11,63,659,579,3453
18738,1,10,11,71,666,613,3688
17392,1,10,9,64,885,767,4624
3349,0,14,13,79,629,580,3336
21064,1,8,9,61,144,128,739
11015,0,27,22,130,194,177,1068
22655,0,17,10,68,211,186,1151
9684,1,12,12,72,337,309,1800
18672,1,8,9,62,529,481,2940
150,0,17,15,87,473,439,2454
6082,1,12,10,63,269,235,1542
22579,0,14,10,83,349,326,1983
23368,0,12,11,77,306,288,1709
12583,0,18,16,108,293,256,1460
2340,0,18,17,92,406,356,2064
13666,0,12,10,75,1,1,1
20266,1,9,10,61,67,61,332
21103,0,12,13,87,504,453,2555
20762,1,13,13,65,264,235,1359
20046,1,11,11,64,142,116,732
3106,1,8,9,53,464,401,2480
19429,1,10,9,58,951,860,5029
19632,0,28,24,134,53,51,299
4055,0,19,15,84,363,332,1897
8323,1,7,8,54,832,724,4088
21167,0,15,15,86,222,209,1168
10761,1,11,11,63,217,181,1126
23407,0,19,15,89,598,560,3234
7015,1,11,12,74,121,102,559
22138,0,11,9,63,536,463,2595
14688,1,16,15,91,88,74,442
20103,0,28,24,156,495,454,2682
9789,1,10,9,60,407,356,2114
5727,1,10,9,63,476,421,2586
12212,1,9,9,66,454,405,2433
7525,1,13,13,69,105,89,520
3253,1,10,10,64,781,699,4404
18479,1,10,11,73,221,197,1178
17876,0,25,24,157,398,369,2057
1273,0,16,15,82,609,528,2855
4175,0,15,16,78,335,316,1837
6096,1,13,12,63,121,108,678
375,0,19,18,97,1208,926,5619
15358,0,13,11,67,380,348,1854
21809,0,29,25,138,677,628,3511
2820,1,11,10,61,732,659,4105
21188,1,10,11,72,518,458,2704
3336,0,17,16,97,620,563,3136
7202,1,9,10,61,422,361,2098
11357,0,26,23,128,1,1,1
2631,1,9,9,62,479,421,2589
6141,0,11,12,69,474,433,2549
2381,1,11,12,69,765,644,3899
6329,0,18,14,77,568,520,2833
6424,0,18,16,80,408,370,1989
15055,0,17,17,102,187,161,950
12371,1,11,11,71,422,373,2280
16001,0,12,11,78,227,213,1258
8729,1,8,6,51,1003,898,5729
4917,0,16,15,85,762,685,3708
3669,1,11,11,65,899,794,4749
14238,0,20,18,111,707,645,3933
6020,1,12,11,70,128,99,558
8607,0,15,14,90,422,373,1943
4520,1,13,12,64,566,484,2940
21245,0,18,17,114,316,278,1616
18607,0,22,20,130,452,400,2255
9338,1,14,13,76,136,118,771
2874,0,20,17,93,370,341,1841
6542,1,8,7,62,389,347,2262
19618,1,8,9,66,477,419,2602
9989,0,21,15,92,235,187,1150
22281,0,13,11,65,1300,1169,7130
16848,1,13,13,71,464,424,2322
11053,0,27,23,138,355,338,1911
4087,1,11,9,66,737,652,4390
2735,1,13,11,70,1010,881,5455
8757,1,11,8,59,348,314,1967
20358,1,10,10,71,198,174,1061
9799,0,35,29,179,684,622,3425
4229,1,14,12,70,1263,1086,6594
11257,1,10,11,67,383,336,1950
13258,0,19,17,97,32,30,162
1242,1,14,14,75,464,399,2451
154,1,11,10,54,68,51,304
7974,0,15,14,83,465,423,2248
12757,0,14,12,75,1,1,1
8063,0,16,15,90,807,705,4118
10537,1,8,9,54,646,524,3172
9379,1,9,8,60,607,521,3221
2601,0,17,14,90,581,516,2828
18337,1,11,12,60,400,361,2167
20028,0,37,28,163,741,691,3976
12710,1,9,9,68,680,602,3638
12756,1,16,12,73,606,554,3256
18885,1,11,10,73,226,199,1228
15362,0,16,15,77,21,20,105
6442,1,11,12,63,950,837,4996
8158,0,18,17,95,467,412,2382
14965,1,10,10,57,230,202,1177
1563,0,17,16,91,663,502,3216
12603,0,32,28,160,1,1,1
21235,1,13,12,68,976,883,5209
20344,0,28,20,138,443,405,2382
5384,0,9,10,60,452,339,2184
21338,0,16,14,87,797,726,4179
3186,0,17,16,86,731,585,3446
18480,1,8,9,58,476,427,2546
5944,0,16,12,69,749,668,3655
6658,0,16,14,79,397,359,2066
17219,0,24,22,136,993,888,4842
19240,1,7,8,50,61,53,326
13842,1,7,8,57,517,460,2721
18734,0,24,19,114,603,546,3185
11261,1,10,8,52,476,421,2536
19704,1,10,11,57,345,309,1786
21732,0,28,26,134,564,499,2526
1633,1,17,14,76,495,409,2355
10586,1,11,10,67,419,364,2103
7344,1,12,12,78,42,35,230
2439,0,14,14,100,608,563,3432
12194,0,16,15,86,1453,1256,7076
7878,0,14,10,59,283,260,1489
2031,1,10,9,56,429,370,2119
21457,0,19,18,98,103,97,542
16804,0,9,7,64,251,229,1316
9730,0,21,22,121,1017,901,5030
15187,1,9,10,59,149,130,765
6179,1,9,9,61,620,522,3146
2686,0,18,16,99,558,505,2675
4259,1,14,11,62,89,67,380
17634,0,15,14,72,344,292,1637
7679,1,9,10,66,198,175,1058
16618,1,11,12,63,420,379,2196
13977,0,19,16,86,120,101,558
22415,0,17,15,88,516,467,2760
5555,0,13,13,76,361,334,1934
14414,0,23,20,105,17,15,81
2647,1,10,10,66,441,385,2283
17996,1,9,8,56,269,239,1416
12772,0,23,18,121,386,352,2020
21981,0,13,12,72,1671,1561,8895
7538,1,11,10,63,386,344,2083
2674,1,9,10,64,340,307,1867
16003,1,10,9,54,214,194,1168
2525,0,19,16,86,482,434,2387
21641,0,16,16,104,296,272,1798
2885,0,13,14,80,538,469,2732
6881,0,15,14,87,1112,991,5666
23357,0,15,13,85,143,122,740
10082,1,7,8,48,91,74,466
14346,1,10,11,70,91,81,468
7034,0,13,14,84,438,405,2432
5687,1,9,8,59,753,667,4014
13676,1,14,12,64,1005,900,5085
16600,0,12,11,68,38,34,184
19947,0,27,22,123,732,663,3518
12252,0,25,21,106,5,1,28
13656,0,12,12,87,318,289,1846
19977,0,17,16,88,598,551,3041
9289,1,13,9,64,621,549,3506
16639,0,24,21,144,314,296,1716
198,1,8,9,67,365,322,1972
5479,0,12,13,75,609,578,3333
1448,1,12,10,63,490,441,2763
22938,0,9,10,67,172,154,961
19012,1,7,8,69,272,244,1396
6846,1,15,14,72,400,339,1917
9988,1,9,9,60,487,437,2668
4208,0,17,16,96,984,796,5072
12366,0,13,13,74,105,99,557
7601,1,14,13,79,342,305,1914
11280,1,14,11,80,445,410,2510
18883,0,17,13,80,338,315,1655
19773,0,25,25,151,373,342,1964
23211,0,15,13,90,2430,2177,13440
20224,1,9,10,61,1166,1044,6237
5542,0,15,16,84,468,424,2360
22942,0,13,13,76,443,401,2488
4524,1,10,10,74,558,498,3011
17034,0,21,19,102,478,437,2650
14845,0,25,18,113,150,80,563
4048,1,11,10,66,676,582,3561
16048,0,33,24,140,252,226,1263
23422,0,13,10,68,334,298,1746
16200,1,13,9,66,518,457,2756
717,1,11,11,69,86,68,407
5241,0,17,16,86,480,411,2204
10704,1,9,10,71,107,91,538
612,0,19,16,96,323,277,1606
9669,0,28,25,165,1378,1236,7080
3605,0,11,12,64,488,420,2485
20911,1,14,13,69,635,576,3440
15012,1,9,9,40,170,147,850
21312,0,16,13,81,507,459,2466
15786,0,13,11,82,1,1,1
8961,0,16,15,92,524,486,2754
5562,1,10,11,73,97,83,530
19738,1,9,8,48,237,210,1161
11875,1,8,9,60,317,284,1679
1351,1,10,8,61,270,229,1372
15417,0,20,17,92,13,11,67
20456,1,14,12,72,817,737,4343
2069,0,16,16,96,520,487,2795
16409,0,26,20,123,2898,2684,15100
11072,0,20,17,119,504,411,2563
12966,0,12,10,54,71,67,363
2752,1,8,9,54,226,189,1118
8973,0,11,10,53,577,508,2846
23479,0,13,13,67,545,487,2685
6359,1,9,8,54,380,332,2035
10186,1,9,9,55,546,445,2445
3793,0,11,12,67,505,457,2541
12757,1,12,9,62,50,44,268
6185,0,14,13,76,397,360,1893
14217,0,23,19,132,658,599,3470
9307,1,14,11,61,1238,1082,6237
15088,0,21,21,106,447,402,2167
19293,1,9,9,60,406,369,2205
12206,0,20,20,113,344,317,1850
6923,0,14,14,74,628,564,3375
21413,1,6,7,52,151,131,800
3393,1,9,10,68,1122,985,5793
19946,0,12,12,76,158,132,712
